item,itemLabel,type,linkcount
http://www.wikidata.org/entity/Q4048254,Wikipedia:Requests for adminship,http://www.wikidata.org/entity/Q4656150,288
http://www.wikidata.org/entity/Q22897,Wikipedia:Articles for deletion,http://www.wikidata.org/entity/Q4656150,231
http://www.wikidata.org/entity/Q4994848,Project:Manual of Style,http://www.wikidata.org/entity/Q4656150,228
http://www.wikidata.org/entity/Q4345841,Wikipedia:What Wikipedia is not,http://www.wikidata.org/entity/Q4656150,208
http://www.wikidata.org/entity/Q4656487,Project:Neutral point of view,http://www.wikidata.org/entity/Q4656150,181
http://www.wikidata.org/entity/Q4663261,Wikipedia:Stub,http://www.wikidata.org/entity/Q4656150,181
http://www.wikidata.org/entity/Q55386965,Project:Interface administrators,http://www.wikidata.org/entity/Q4656150,173
http://www.wikidata.org/entity/Q3186256,Wikipedia:Article titles,http://www.wikidata.org/entity/Q4656150,167
http://www.wikidata.org/entity/Q4616470,Project:Protection policy,http://www.wikidata.org/entity/Q4656150,164
http://www.wikidata.org/entity/Q4664011,Wikipedia:Vandalism,http://www.wikidata.org/entity/Q4656150,155
http://www.wikidata.org/entity/Q4657574,"Project:Notability, inclusion and scope policy",http://www.wikidata.org/entity/Q4656150,150
http://www.wikidata.org/entity/Q642335,Wikipedia:Citing sources,http://www.wikidata.org/entity/Q4656150,147
http://www.wikidata.org/entity/Q3916099,Project:Be bold,http://www.wikidata.org/entity/Q4656150,146
http://www.wikidata.org/entity/Q4167410,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q4656150,146
http://www.wikidata.org/entity/Q4592334,Wikipedia:User pages,http://www.wikidata.org/entity/Q4656150,144
http://www.wikidata.org/entity/Q4664109,Wikipedia:Criteria for speedy deletion,http://www.wikidata.org/entity/Q4656150,137
http://www.wikidata.org/entity/Q4663253,Wikipedia:Signatures,http://www.wikidata.org/entity/Q4656150,136
http://www.wikidata.org/entity/Q4167836,Wikimedia category,http://www.wikidata.org/entity/Q4656150,133
http://www.wikidata.org/entity/Q3621820,Wikipedia:Etiquette,http://www.wikidata.org/entity/Q4656150,120
http://www.wikidata.org/entity/Q79951,Wikipedia:Verifiability,http://www.wikidata.org/entity/Q4656150,113
http://www.wikidata.org/entity/Q4663356,Wikipedia:Assume good faith,http://www.wikidata.org/entity/Q4656150,109
http://www.wikidata.org/entity/Q4654351,Wikipedia:Consensus,http://www.wikidata.org/entity/Q4656150,107
http://www.wikidata.org/entity/Q4657797,Wikipedia:Userboxes,http://www.wikidata.org/entity/Q4656150,98
http://www.wikidata.org/entity/Q4657677,Wikipedia:Voting,http://www.wikidata.org/entity/Q4656150,96
http://www.wikidata.org/entity/Q4656524,Wikipedia:No original research,http://www.wikidata.org/entity/Q4656150,94
http://www.wikidata.org/entity/Q4663903,Wikimedia portal,http://www.wikidata.org/entity/Q4656150,90
http://www.wikidata.org/entity/Q4663914,Wikipedia:Reliable sources,http://www.wikidata.org/entity/Q4656150,83
http://www.wikidata.org/entity/Q4654593,Wikipedia:Civility,http://www.wikidata.org/entity/Q4656150,80
http://www.wikidata.org/entity/Q4663389,Wikipedia:Biographies of living persons,http://www.wikidata.org/entity/Q4656150,80
http://www.wikidata.org/entity/Q4657623,Project:External links,http://www.wikidata.org/entity/Q4656150,79
http://www.wikidata.org/entity/Q4663309,project:conflict of interest,http://www.wikidata.org/entity/Q4656150,76
http://www.wikidata.org/entity/Q4654667,Wikipedia:Dispute resolution,http://www.wikidata.org/entity/Q4656150,67
http://www.wikidata.org/entity/Q4654740,Wikipedia:Requests for comment,http://www.wikidata.org/entity/Q4656150,63
http://www.wikidata.org/entity/Q4663975,Wikipedia:Manual of Style/Words to watch,http://www.wikidata.org/entity/Q4656150,60
http://www.wikidata.org/entity/Q4664090,Wikipedia:Merging,http://www.wikidata.org/entity/Q4656150,60
http://www.wikidata.org/entity/Q4657775,Wikipedia:Do not disrupt Wikipedia to illustrate a point,http://www.wikidata.org/entity/Q4656150,58
http://www.wikidata.org/entity/Q4657322,Project:Autobiography,http://www.wikidata.org/entity/Q4656150,53
http://www.wikidata.org/entity/Q4663321,Wikipedia:Notability (people),http://www.wikidata.org/entity/Q4656150,53
http://www.wikidata.org/entity/Q4654415,Wikipedia:No legal threats,http://www.wikidata.org/entity/Q4656150,52
http://www.wikidata.org/entity/Q4663994,Wikipedia:Ownership of content,http://www.wikidata.org/entity/Q4656150,51
http://www.wikidata.org/entity/Q4656567,Wikipedia:Three-revert rule,http://www.wikidata.org/entity/Q4656150,44
http://www.wikidata.org/entity/Q10973854,Wikipedia:Writing better articles,http://www.wikidata.org/entity/Q4656150,41
http://www.wikidata.org/entity/Q4656540,Wikipedia:Open proxies,http://www.wikidata.org/entity/Q4656150,35
http://www.wikidata.org/entity/Q10954578,Wikipedia:Manual of Style/Spelling,http://www.wikidata.org/entity/Q4656150,35
http://www.wikidata.org/entity/Q4657380,Wikipedia:Article size,http://www.wikidata.org/entity/Q4656150,31
http://www.wikidata.org/entity/Q4663944,Wikipedia:Notability (music),http://www.wikidata.org/entity/Q4656150,30
http://www.wikidata.org/entity/Q4657349,Wikipedia:Manual of Style/Biography,http://www.wikidata.org/entity/Q4656150,28
http://www.wikidata.org/entity/Q4663933,Wikipedia:Notability (web),http://www.wikidata.org/entity/Q4656150,27
http://www.wikidata.org/entity/Q4663273,Wikipedia:Libel,http://www.wikidata.org/entity/Q4656150,26
http://www.wikidata.org/entity/Q4616152,Wikipedia:Arbitration/Policy,http://www.wikidata.org/entity/Q4656150,23
http://www.wikidata.org/entity/Q13429672,Wikipedia:Requests for undeletion,http://www.wikidata.org/entity/Q4656150,23
http://www.wikidata.org/entity/Q4654366,Wikipedia:Mediation,http://www.wikidata.org/entity/Q4656150,21
http://www.wikidata.org/entity/Q9276887,Wikipedia:Fringe theories,http://www.wikidata.org/entity/Q4656150,18
http://www.wikidata.org/entity/Q15080994,Project:Template editors,http://www.wikidata.org/entity/Q4656150,17
http://www.wikidata.org/entity/Q11044054,Wikipedia:Splitting,http://www.wikidata.org/entity/Q4656150,16
http://www.wikidata.org/entity/Q11127329,Wikipedia:Naming conventions (categories),http://www.wikidata.org/entity/Q4656150,14
http://www.wikidata.org/entity/Q4656551,Eligibility to vote,http://www.wikidata.org/entity/Q4656150,13
http://www.wikidata.org/entity/Q4657130,Wikipedia:Naming conventions (Hebrew),http://www.wikidata.org/entity/Q4656150,8
http://www.wikidata.org/entity/Q4654447,Wikipedia:Negotiation,http://www.wikidata.org/entity/Q4656150,5
http://www.wikidata.org/entity/Q5087754,Wikimedia:Language policy,http://www.wikidata.org/entity/Q4656150,4
http://www.wikidata.org/entity/Q76703439,Wikipedia:Alphabetical order,http://www.wikidata.org/entity/Q4656150,2
